antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Perangkat Jaringan'}),frozenset({'Air Conditioner'}),0.019230769230769232,0.40384615384615385,0.019230769230769232,1.0,2.4761904761904763,1.0,0.011464497041420118,inf,0.6078431372549019,0.04761904761904762,1.0,0.5238095238095238
frozenset({'Baterai Aa Abc Alkaline'}),frozenset({'Kabel Roll'}),0.038461538461538464,0.2692307692307692,0.038461538461538464,1.0,3.7142857142857144,1.0,0.028106508875739646,inf,0.76,0.14285714285714285,1.0,0.5714285714285714
frozenset({'Jaringan Listrik'}),frozenset({'Lampu Penerangan'}),0.057692307692307696,0.28846153846153844,0.038461538461538464,0.6666666666666666,2.3111111111111113,1.0,0.02181952662721894,2.1346153846153846,0.6020408163265306,0.125,0.5315315315315315,0.4
frozenset({'Telepon'}),frozenset({'Printer'}),0.019230769230769232,0.09615384615384616,0.019230769230769232,1.0,10.399999999999999,1.0,0.01738165680473373,inf,0.9215686274509806,0.2,1.0,0.6
frozenset({'Rumah Downlight'}),frozenset({'Lampu Penerangan'}),0.019230769230769232,0.28846153846153844,0.019230769230769232,1.0,3.466666666666667,1.0,0.013683431952662722,inf,0.7254901960784315,0.06666666666666668,1.0,0.5333333333333333
frozenset({'Rumah Downlight'}),frozenset({'Starter Philips'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Starter Philips'}),frozenset({'Rumah Downlight'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Starter Philips'}),frozenset({'Lampu Penerangan'}),0.019230769230769232,0.28846153846153844,0.019230769230769232,1.0,3.466666666666667,1.0,0.013683431952662722,inf,0.7254901960784315,0.06666666666666668,1.0,0.5333333333333333
"frozenset({'Rumah Downlight', 'Starter Philips'})",frozenset({'Lampu Penerangan'}),0.019230769230769232,0.28846153846153844,0.019230769230769232,1.0,3.466666666666667,1.0,0.013683431952662722,inf,0.7254901960784315,0.06666666666666668,1.0,0.5333333333333333
"frozenset({'Rumah Downlight', 'Lampu Penerangan'})",frozenset({'Starter Philips'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
