antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Perangkat Jaringan', 'Printer'})",frozenset({'Air Conditioner'}),0.011705685618729096,0.7558528428093646,0.010033444816053512,0.8571428571428572,1.1340075853350189,1.0,0.0011856690641044287,1.7090301003344486,0.11957134799774397,0.013245033112582781,0.4148727984344424,0.43520859671302153
"frozenset({'Komputer', 'Kabel Roll'})",frozenset({'Air Conditioner'}),0.013377926421404682,0.7558528428093646,0.011705685618729096,0.875,1.1576327433628317,1.0,0.0015939419022158573,1.9531772575250832,0.13801452784503618,0.015452538631346576,0.4880136986301369,0.4452433628318584
"frozenset({'Komputer', 'Printer'})",frozenset({'Lampu Penerangan'}),0.015050167224080268,0.6120401337792643,0.011705685618729096,0.7777777777777777,1.2707953855494836,1.0,0.0024943792575027116,1.74581939799331,0.21634731991268488,0.01902173913043478,0.42720306513409934,0.3984517304189435
"frozenset({'Komputer', 'Printer'})",frozenset({'Air Conditioner'}),0.015050167224080268,0.7558528428093646,0.011705685618729096,0.7777777777777777,1.0290068829891836,1.0,0.00032997393765170184,1.098662207357859,0.028619936939121803,0.01541850220264317,0.08980213089802071,0.39663225172074723
frozenset({'Proyektor'}),frozenset({'Air Conditioner'}),0.010033444816053512,0.7558528428093646,0.010033444816053512,1.0,1.323008849557522,1.0,0.0024496370286685824,inf,0.24662162162162155,0.01327433628318584,1.0,0.5066371681415929
frozenset({'Printer'}),frozenset({'Air Conditioner'}),0.205685618729097,0.7558528428093646,0.15551839464882944,0.7560975609756098,1.00032376429959,1.0,5.0335007438395696e-05,1.001003344481605,0.000407470288624789,0.19294605809128632,0.0010023387905110038,0.4809248866824951
"frozenset({'Kabel Roll', 'Printer'})",frozenset({'Air Conditioner'}),0.023411371237458192,0.7558528428093646,0.01839464882943144,0.7857142857142858,1.0395069532237675,1.0,0.0006990973255332732,1.1393534002229657,0.03891656288916572,0.024175824175824177,0.1223091976516636,0.40502528445006325
frozenset({'Stop Kontak'}),frozenset({'Air Conditioner'}),0.13210702341137123,0.7558528428093646,0.10033444816053512,0.759493670886076,1.0048168477652066,1.0,0.00048097895996689066,1.0151381798979053,0.00552344251766217,0.12738853503184713,0.014912432807352174,0.4461185168589672
"frozenset({'Kabel Roll', 'Lampu Penerangan', 'Stop Kontak'})",frozenset({'Air Conditioner'}),0.013377926421404682,0.7558528428093646,0.011705685618729096,0.875,1.1576327433628317,1.0,0.0015939419022158573,1.9531772575250832,0.13801452784503618,0.015452538631346576,0.4880136986301369,0.4452433628318584
frozenset({'Jaringan Listrik'}),frozenset({'Lampu Penerangan'}),0.028428093645484948,0.6120401337792643,0.01839464882943144,0.6470588235294119,1.0572163291546128,1.0,0.0009955145915593808,1.0992196209587517,0.05570333281176667,0.02956989247311828,0.09026369168357026,0.33855673416907756
frozenset({'Kipas Angin'}),frozenset({'Air Conditioner'}),0.02508361204013378,0.7558528428093646,0.020066889632107024,0.8,1.0584070796460177,1.0,0.0011073701636447018,1.2207357859531773,0.05660377358490565,0.026373626373626374,0.18082191780821918,0.4132743362831859
"frozenset({'Kipas Angin', 'Lampu Penerangan'})",frozenset({'Air Conditioner'}),0.015050167224080268,0.7558528428093646,0.011705685618729096,0.7777777777777777,1.0290068829891836,1.0,0.00032997393765170184,1.098662207357859,0.028619936939121803,0.01541850220264317,0.08980213089802071,0.39663225172074723
frozenset({'Mcb'}),frozenset({'Lampu Penerangan'}),0.013377926421404682,0.6120401337792643,0.011705685618729096,0.875,1.4296448087431692,1.0,0.00351785774208342,3.103678929765886,0.30460048426150105,0.019073569482288825,0.677801724137931,0.44706284153005466
frozenset({'Saklar'}),frozenset({'Lampu Penerangan'}),0.01839464882943144,0.6120401337792643,0.011705685618729096,0.6363636363636362,1.039741679085941,1.0,0.0004474222883412912,1.066889632107023,0.03893891457775593,0.018918918918918916,0.06269592476488989,0.3277446597118728
"frozenset({'Saklar', 'Lampu Penerangan'})",frozenset({'Air Conditioner'}),0.011705685618729096,0.7558528428093646,0.010033444816053512,0.8571428571428572,1.1340075853350189,1.0,0.0011856690641044287,1.7090301003344486,0.11957134799774397,0.013245033112582781,0.4148727984344424,0.43520859671302153
"frozenset({'Saklar', 'Air Conditioner'})",frozenset({'Lampu Penerangan'}),0.011705685618729096,0.6120401337792643,0.010033444816053512,0.8571428571428572,1.4004683840749415,1.0,0.002869095423988546,2.7157190635451514,0.2893401015228426,0.01634877384196185,0.6317733990147785,0.436768149882904
frozenset({'Saklar'}),"frozenset({'Lampu Penerangan', 'Air Conditioner'})",0.01839464882943144,0.4414715719063545,0.010033444816053512,0.5454545454545454,1.2355371900826446,1.0,0.0019127302826590312,1.2287625418060202,0.1942078364565588,0.02230483271375465,0.18617310832879688,0.28409090909090906
