antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Air Conditioner (Gedung Kuliah 6 ( Manajemen Informatika ), Jurusan Manajemen Informatika)'})","frozenset({'Printer (Ruang Keuangan, Kpa)'})",0.0027063599458728013,0.010825439783491205,0.0027063599458728013,1.0,92.375,1.0,0.0026770624092463027,inf,0.9918588873812754,0.25,1.0,0.625
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 9 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang 10 Lantai 1, Jurusan Administrasi Bisnis)', 'Lampu Penerangan (Ruang 14 Lantai 1, Jurusan Administrasi Bisnis)'})","frozenset({'Lampu Penerangan (Ruang 8 Lantai 1, Jurusan Administrasi Bisnis)'})",0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,1.0,369.5,1.0,0.002699035561716177,inf,1.0,1.0,1.0,1.0
