antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Komputer', 'Stop Kontak'})",frozenset({'Air Conditioner'}),0.021671826625386997,0.781733746130031,0.018575851393188854,0.8571428571428571,1.0964639321074963,1.0,0.0016342531798445303,1.5278637770897825,0.08992616033755275,0.023668639053254434,0.34549138804457924,0.44045261669024044
"frozenset({'Komputer', 'Kabel Roll'})",frozenset({'Air Conditioner'}),0.020123839009287926,0.781733746130031,0.017027863777089782,0.8461538461538461,1.0824067022086823,1.0,0.0012963797218414792,1.4187306501547985,0.07769639523194008,0.02169625246548323,0.2951445717403163,0.433968012185834
"frozenset({'Komputer', 'Kabel Roll'})",frozenset({'Lampu Penerangan'}),0.020123839009287926,0.6114551083591331,0.01238390092879257,0.6153846153846154,1.0064264849074978,1.0,7.907676676667183e-05,1.010216718266254,0.006516587677725201,0.020000000000000004,0.010113392583512308,0.3178188899707887
"frozenset({'Komputer', 'Kabel Roll', 'Lampu Penerangan'})",frozenset({'Air Conditioner'}),0.01238390092879257,0.781733746130031,0.010835913312693499,0.875,1.1193069306930692,1.0,0.0011550000479253128,1.746130030959752,0.10792655620241824,0.01383399209486166,0.427304964539007,0.44443069306930694
"frozenset({'Komputer', 'Kabel Roll', 'Air Conditioner'})",frozenset({'Lampu Penerangan'}),0.017027863777089782,0.6114551083591331,0.010835913312693499,0.6363636363636365,1.0407364787111626,1.0,0.00042413902174850797,1.0684984520123844,0.039820022497187926,0.01754385964912281,0.06410720753350273,0.3270425776754891
"frozenset({'Komputer', 'Kabel Roll'})","frozenset({'Lampu Penerangan', 'Air Conditioner'})",0.020123839009287926,0.46439628482972134,0.010835913312693499,0.5384615384615384,1.1594871794871795,1.0,0.0014904772402687654,1.1604747162022702,0.14037463326562855,0.022875816993464054,0.1382836816362828,0.2808974358974359
"frozenset({'Komputer', 'Printer'})",frozenset({'Air Conditioner'}),0.017027863777089782,0.781733746130031,0.01393188854489164,0.8181818181818182,1.0466246624662467,1.0,0.0006206328058353857,1.2004643962848298,0.04531933508311458,0.01775147928994083,0.16698903932946496,0.41800180018001803
"frozenset({'Komputer', 'Printer'})",frozenset({'Lampu Penerangan'}),0.017027863777089782,0.6114551083591331,0.01238390092879257,0.7272727272727274,1.189413118527043,1.0,0.0019721266378475797,1.4246646026831793,0.16200787401574812,0.020100502512562818,0.29808040565012717,0.3737629459148447
"frozenset({'Komputer', 'Lampu Penerangan', 'Printer'})",frozenset({'Air Conditioner'}),0.01238390092879257,0.781733746130031,0.010835913312693499,0.875,1.1193069306930692,1.0,0.0011550000479253128,1.746130030959752,0.10792655620241824,0.01383399209486166,0.427304964539007,0.44443069306930694
"frozenset({'Komputer', 'Air Conditioner', 'Printer'})",frozenset({'Lampu Penerangan'}),0.01393188854489164,0.6114551083591331,0.010835913312693499,0.7777777777777778,1.2720112517580873,1.0,0.002317188892829416,1.7484520123839011,0.21686476788517617,0.017632241813602016,0.4280655157149182,0.3977496483825598
